0x77,0x77,0x7A,0x04	"刷写指纹信息: "
0x77,0x77,0x7A,0x03	"引导程序版本号: "
0x77,0x77,0x7A,0x02	"软件版本号: "
0x77,0x77,0x7A,0x01	"硬件版本号: "
0x77,0x77,0x7B,0x03	"应用文件"
0x77,0x77,0x7B,0x02	"提示信息"
0x77,0x77,0x7B,0x01	"所导入的文件与当前所选车型不符合"
0x77,0x77,0x78,0xFF	"共%s部分, 第%s部分已完成: "
0x77,0x77,0x78,0xFE	"两"
0x77,0x77,0x78,0x0F	"十五"
0x77,0x77,0x78,0x0E	"十四"
0x77,0x77,0x78,0x0D	"十三"
0x77,0x77,0x78,0x0C	"十二"
0x77,0x77,0x78,0x0B	"十一"
0x77,0x77,0x78,0x0A	"十"
0x77,0x77,0x78,0x09	"九"
0x77,0x77,0x78,0x08	"八"
0x77,0x77,0x78,0x07	"七"
0x77,0x77,0x78,0x06	"六"
0x77,0x77,0x78,0x05	"五"
0x77,0x77,0x78,0x04	"四"
0x77,0x77,0x78,0x03	"三"
0x77,0x77,0x78,0x02	"二"
0x77,0x77,0x78,0x01	"一"
0x77,0x77,0x78,0x00	"ECU刷写"
0x77,0x77,0x79,0xFF	"无法获取当前发动机配置。若有疑问，请与吉利售后联系"
0x77,0x77,0x79,0xFE	"请先关闭点火开关，再打开点火开关打到ON档。"
0x77,0x77,0x79,0xFD	"ECU刷写已完成，请关闭点火开关一分钟，然后请拨动档位进行挂档"
0x77,0x77,0x79,0xFC	"处理中，请等待5分钟..."
0x77,0x77,0x79,0xFB	"原因未知"
0x77,0x77,0x79,0xFA	"软件不兼容"
0x77,0x77,0x79,0xF9	"硬件不兼容"
0x77,0x77,0x79,0xF8	"刷写数据没有包括所有的数据块"
0x77,0x77,0x79,0xF7	"一般性错误"
0x77,0x77,0x79,0xF6	"依赖性检查不通过"
0x77,0x77,0x79,0x13	"刷写手机蓝牙钥匙"
0x77,0x77,0x79,0x12	"ECU刷写(P)"
0x77,0x77,0x79,0x11	"ECU刷写"
0x77,0x77,0x79,0x10	"刷写功能"
0x77,0x77,0x79,0x03	"4G18TDB 4WD P "
0x77,0x77,0x79,0x02	"4G18TDB 6AT P"
0x77,0x77,0x79,0x01	"4G18TD 6MT P"
0x77,0x77,0x79,0x00	"请确认该发动机系统是否为: %s\n"
0x77,0x77,0x77,0xFF	"你选择的文件如下，是否继续执行刷写功能？\n"
0x77,0x77,0x77,0x0F	"请选择第十五个刷写文件"
0x77,0x77,0x77,0x0E	"请选择第十四个刷写文件"
0x77,0x77,0x77,0x0D	"请选择第十三个刷写文件"
0x77,0x77,0x77,0x0C	"请选择第十二个刷写文件"
0x77,0x77,0x77,0x0B	"请选择第十一个刷写文件"
0x77,0x77,0x77,0x0A	"请选择第十个刷写文件"
0x77,0x77,0x77,0x09	"请选择第九个刷写文件"
0x77,0x77,0x77,0x08	"请选择第八个刷写文件"
0x77,0x77,0x77,0x07	"请选择第七个刷写文件"
0x77,0x77,0x77,0x06	"请选择第六个刷写文件"
0x77,0x77,0x77,0x05	"请选择第五个刷写文件"
0x77,0x77,0x77,0x04	"请选择第四个刷写文件"
0x77,0x77,0x77,0x03	"请选择第三个刷写文件"
0x77,0x77,0x77,0x02	"请选择第二个刷写文件"
0x77,0x77,0x77,0x01	"请选择第一个刷写文件"
0x77,0x77,0x77,0x00	"请选择刷写文件"
0x43,0x00,0x00,0x12	"未激活"
0x43,0x00,0x00,0x11	"激活"
0x43,0x00,0x00,0x10	"预留"
0x43,0x00,0x00,0x0F	"运输模式"
0x43,0x00,0x00,0x0E	"常规模式"
0x43,0x00,0x00,0x0D	"ECU安装日期: "
0x43,0x00,0x00,0x0C	"ECU软件版本号: "
0x43,0x00,0x00,0x0B	"ECU硬件版本号: "
0x43,0x00,0x00,0x0A	"车辆识别号(VIN码): "
0x43,0x00,0x00,0x09	"ECU序列号: "
0x43,0x00,0x00,0x08	"ECU生产日期: "
0x43,0x00,0x00,0x07	"供应商代码: "
0x43,0x00,0x00,0x06	"Geely软件版本号: "
0x43,0x00,0x00,0x05	"零件号: "
0x43,0x00,0x00,0x04	"车辆名称: "
0x43,0x00,0x00,0x03	""
0x43,0x00,0x00,0x02	"读所有支持的故障码"
0x43,0x00,0x00,0x01	"读故障码"
0x55,0x63,0x01,0x0A	"CVT刷写功能(CANBUS)"
0x55,0x63,0x01,0x09	"自动变速箱系统(CVT)"
0x55,0x63,0x01,0x08	"发动机德尔福MT22.1(K线)"
0x55,0x63,0x01,0x07	"联电发动机系统故障检测(K线)"
0x55,0x63,0x01,0x06	"西门子空调系统"
0x55,0x63,0x01,0x05	"大陆组合仪表系统"
0x55,0x63,0x01,0x04	"大陆车身控制系统"
0x55,0x63,0x01,0x03	"奥托立夫安全气囊(CANBUS)"
0x55,0x63,0x01,0x02	"博世ABS8系统(CANBUS)"
0x55,0x63,0x01,0x01	"联电发动机系统(排放检测)"
0x55,0x62,0x01,0x08	"奥泽车身控制系统(KWP2000)"
0x55,0x62,0x01,0x07	"奥托立夫安全气囊(CANBUS)"
0x55,0x62,0x01,0x06	"李尔车身控制系统(KWP2000)"
0x55,0x62,0x01,0x05	"三菱防盗系统"
0x55,0x62,0x01,0x04	"BOSCHABS8"
0x55,0x62,0x01,0x03	"奥托立夫安全气囊(KWP2000)"
0x55,0x62,0x01,0x02	"三菱自动变速箱系统"
0x55,0x62,0x01,0x01	"三菱发动机系统"
0x55,0x61,0x01,0x01	"博世AB8.0安全气囊"
0x55,0x60,0x01,0x07	"电子助力转向系统(手工读)"
0x55,0x60,0x01,0x06	"集诚防盗系统(配德尔福EMS)"
0x55,0x60,0x01,0x05	"防盗系统(配联电EMS)"
